Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",26.500000,8.100000,-90.000000,top
"C2","10uF","C_0805_2012Metric",37.604000,1.950000,180.000000,top
"C3","22uF","C_0805_2012Metric",26.500000,2.038000,90.000000,top
"C4","0.1uF","C_0402_1005Metric",40.872000,1.200000,180.000000,top
"C5","100uF 16V","C_1210_3225Metric",55.100000,1.696000,180.000000,top
"C6","100uF 16V","C_1210_3225Metric",55.100000,4.998000,180.000000,top
"C7","100uF 16V","C_1210_3225Metric",55.100000,8.300000,180.000000,top
"D1","LED","LED_0805_2012Metric",42.434500,8.500000,180.000000,top
"R1","10K","R_0603_1608Metric",49.872000,2.500000,180.000000,top
"R2","10K","R_0603_1608Metric",49.872000,4.278000,180.000000,top
"R3","10K","R_0603_1608Metric",49.872000,6.056000,180.000000,top
"R4","1K","R_0603_1608Metric",37.592500,8.406000,0.000000,top
"R5","10K","R_0603_1608Metric",49.872000,7.834000,180.000000,top
"R6","20K","R_0603_1608Metric",37.622000,6.450000,0.000000,top
"R7","20K","R_0603_1608Metric",37.622000,4.450000,180.000000,top
"R8","120","R_0603_1608Metric",24.200000,5.100000,-90.000000,top
"U1","AMS1117-5.0","SOT-223-3_TabPin2",31.600000,5.000000,-90.000000,top
"U2","MAX485E","SOIC-8_3.9x4.9mm_P1.27mm",43.700000,4.600000,180.000000,top
